,Time,Solar8000/HR
0,2.284,102
1,4.284,102
2,6.283,103
3,8.284,103
4,10.284,103
5,12.284,103
6,14.284,102
7,16.284,103
8,18.285,103
9,20.287,103
10,22.286,103
11,24.288,103
12,26.287,102
13,28.286,102
14,30.288,102
15,32.286,102
16,34.286,102
17,36.288,102
18,38.286,102
19,40.287,101
20,42.288,101
21,44.286,101
22,46.289,101
23,48.289,100
24,50.291,98
25,52.293,98
26,54.293,97
27,56.294,97
28,58.294,96
29,60.294,97
30,62.294,98
31,64.293,99
32,66.295,101
33,68.296,102
34,70.297,103
35,72.297,103
36,74.297,104
37,76.297,105
38,78.298,106
39,80.298,106
40,82.299,106
41,84.299,107
42,86.297,107
43,88.3,106
44,90.301,106
45,92.301,105
46,94.301,105
47,96.301,104
48,98.302,103
49,100.302,103
50,102.301,102
51,104.303,101
52,106.304,101
53,108.306,100
54,110.304,100
55,112.304,100
56,114.305,100
57,116.306,100
58,118.304,100
59,120.304,100
60,122.303,100
61,124.304,99
62,126.304,99
63,128.304,99
64,130.302,99
65,132.304,99
66,134.303,99
67,136.304,100
68,138.304,100
69,140.304,99
70,142.303,98
71,144.304,98
72,146.304,98
73,148.304,97
74,150.303,96
75,152.304,95
76,154.304,95
77,156.306,95
78,158.306,95
79,160.305,95
80,162.305,95
81,164.306,95
82,166.306,95
83,168.305,95
84,170.305,95
85,172.307,96
86,174.307,96
87,176.306,96
88,178.308,96
89,180.307,96
90,182.307,97
91,184.307,96
92,186.306,96
93,188.307,97
94,190.306,97
95,192.306,97
96,194.306,97
97,196.307,97
98,198.307,97
99,200.308,97
100,202.306,97
101,204.308,97
102,206.307,97
103,208.307,97
104,210.307,97
105,212.306,97
106,214.307,97
107,216.306,97
108,218.307,97
109,220.308,97
110,222.307,97
111,224.306,97
112,226.307,97
113,228.306,97
114,230.306,97
115,232.308,97
116,234.308,97
117,236.307,96
118,238.306,96
119,240.31,96
120,242.311,96
121,244.311,95
122,246.312,95
123,248.312,95
124,250.313,95
125,252.312,95
126,254.313,95
127,256.312,96
128,258.312,96
129,260.313,96
130,262.313,96
131,264.314,96
132,266.314,95
133,268.313,95
134,270.314,95
135,272.313,95
136,274.313,95
137,276.313,95
138,278.314,95
139,280.315,94
140,282.314,94
141,284.314,93
142,286.314,93
143,288.314,93
144,290.315,90
145,292.313,90
146,294.314,90
147,296.314,90
148,298.314,93
149,300.315,92
150,302.314,92
151,304.316,92
152,306.317,92
153,308.315,92
154,310.316,92
155,312.316,92
156,314.315,92
157,316.316,92
158,318.315,92
159,320.315,92
160,322.316,92
161,324.316,92
162,326.316,92
163,328.316,92
164,330.317,92
165,332.318,92
166,334.319,91
167,336.319,91
168,338.32,91
169,340.321,91
170,342.321,91
171,344.32,91
172,346.319,91
173,348.32,91
174,350.321,91
175,352.321,91
176,354.321,91
177,356.321,91
178,358.32,91
179,360.321,91
180,362.322,91
181,364.322,91
182,366.323,91
183,368.324,91
184,370.325,91
185,372.324,91
186,374.326,91
187,376.324,90
188,378.325,91
189,380.325,90
190,382.325,91
191,384.325,90
192,386.328,91
193,388.328,91
194,390.329,91
195,392.329,91
196,394.329,91
197,396.33,91
198,398.33,91
199,400.33,91
200,402.331,90
201,404.331,90
202,406.331,90
203,408.333,90
204,410.333,90
205,412.335,90
206,414.334,90
207,416.333,91
208,418.333,91
209,420.335,91
210,422.335,91
211,424.334,91
212,426.335,91
213,428.335,91
214,430.335,91
215,432.335,91
216,434.336,91
217,436.335,91
218,438.335,91
219,440.337,91
220,442.337,91
221,444.336,91
222,446.336,91
223,448.337,91
224,450.338,91
225,452.338,92
226,454.336,92
227,456.337,92
228,458.336,92
229,460.336,92
230,462.336,92
231,464.337,92
232,466.337,92
233,468.337,92
234,470.338,92
235,472.339,92
236,474.339,92
237,476.341,92
238,478.34,92
239,480.34,92
240,482.34,92
241,484.34,92
242,486.339,92
243,488.34,92
244,490.341,92
245,492.34,91
246,494.339,91
247,496.339,91
248,498.34,91
249,500.34,91
250,502.342,92
251,504.341,92
252,506.339,92
253,508.339,92
254,510.34,92
255,512.341,92
256,514.342,92
257,516.342,92
258,518.342,92
259,520.343,92
260,522.343,92
261,524.343,92
262,526.343,92
263,528.342,92
264,530.344,92
265,532.342,92
266,534.343,92
267,536.344,92
268,538.342,92
269,540.343,92
270,542.343,92
271,544.345,92
272,546.343,92
273,548.342,92
274,550.343,93
275,552.345,93
276,554.344,92
277,556.344,92
278,558.343,92
279,560.344,92
280,562.343,92
281,564.344,92
282,566.343,92
283,568.343,92
284,570.343,92
285,572.344,92
286,574.343,92
287,576.343,92
288,578.344,92
289,580.344,92
290,582.342,93
291,584.343,93
292,586.342,93
293,588.342,93
294,590.342,92
295,592.344,92
296,594.344,92
297,596.343,92
298,598.344,92
299,600.345,92
300,602.344,92
301,604.345,92
302,606.345,92
303,608.345,92
304,610.348,92
305,612.347,92
306,614.348,93
307,616.345,93
308,618.347,93
309,620.348,93
310,622.345,89
311,624.347,93
312,626.348,93
313,628.348,93
314,630.348,93
315,632.346,93
316,634.347,93
317,636.347,93
318,638.346,93
319,640.348,93
320,642.347,93
321,644.346,93
322,646.349,93
323,648.344,92
324,650.347,92
